ÁöÁ¡,2017-04-29,2017-04-30,2017-05-01,2017-05-02,2017-05-03,2017-05-04,2017-05-05,2017-05-06,2017-05-07,2017-05-08,2017-05-09,2017-05-10,2017-05-11,2017-05-12,2017-05-13,2017-05-14,2017-05-15,2017-05-16,2017-05-17,2017-05-18,2017-05-19,2017-05-20,2017-05-21,,2017-05-23,,2017-05-25,2017-05-26,2017-05-27,2017-05-28
ÃÖ´ë°ª,102,86,117,102,92,81,77,105,72,106,77,56,79,86,51,47,42,45,74,75,113,73,93,51,52,56,161,53,43,47
,(05½Ã ÆÈºÀµ¿),(21½Ã ÆÈºÀµ¿),(05½Ã ÆÈºÀµ¿),(06½Ã ÆÈºÀµ¿),(04½Ã ÆÈºÀµ¿),(08½Ã ÆÈºÀµ¿),(05½Ã ÆÈºÀµ¿),(02½Ã ºÎ¾È±º),(16½Ã ½ÅÇ³µ¿(±º»ê)),(14½Ã ³²Áßµ¿),(03½Ã ÆÈºÀµ¿),(14½Ã ¼Ò·æµ¿),(22½Ã ÆÈºÀµ¿),(00½Ã ³²Áßµ¿),(02½Ã ÆÈºÀµ¿),(07½Ã ¸ðÇöµ¿),(02½Ã ÆÈºÀµ¿),(04½Ã ÆÈºÀµ¿),(08½Ã ÆÈºÀµ¿),(23½Ã ÆÈºÀµ¿),(03½Ã ³²Áßµ¿),(09½Ã ³²Áßµ¿),(08½Ã ÆÈºÀµ¿),(07½Ã ºÎ¾È±º),(03½Ã ÆÈºÀµ¿),(08½Ã ÆÈºÀµ¿),(17½Ã °íÃ¢À¾),(07½Ã ÆÈºÀµ¿),(06½Ã ÆÈºÀµ¿),(04½Ã ÆÈºÀµ¿)
[ÀüºÏ °íÃ¢±º],41,59,71,37,38,44,41,39,51,74,36,30,41,41,36,26,17,21,29,31,26,24,24,-,33,-,161,10,12,13
°íÃ¢À¾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ ±º»ê½Ã],37,53,64,47,47,37,35,41,43,53,18,18,42,35,25,21,14,19,30,32,34,25,26,21,29,21,19,10,15,21
°³Á¤µ¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ ±º»ê½Ã],38,53,65,47,44,37,33,39,39,54,15,23,41,24,20,19,14,16,29,30,28,24,21,21,25,16,16,7,10,16
¼Ò·æµ¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ ±º»ê½Ã],-,-,-,45,47,35,33,41,42,58,17,17,41,29,21,21,14,16,30,30,26,24,22,21,26,17,17,7,12,16
½ÅÇ³µ¿(±º»ê),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ ±èÁ¦½Ã],37,52,67,49,44,37,39,41,40,57,20,19,37,28,27,22,15,17,24,26,27,23,24,21,25,22,18,9,13,17
¿äÃÌµ¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ ³²¿ø½Ã],37,39,56,21,27,33,25,35,29,53,19,20,30,26,23,23,16,13,17,27,25,18,21,19,20,22,22,10,11,19
Á×Ç×µ¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ ºÎ¾È±º],33,51,60,47,43,37,35,46,48,73,21,19,35,22,24,19,13,17,27,28,26,23,20,21,24,-,11,9,13,19
ºÎ¾È±º,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ ÀÍ»ê½Ã],45,57,74,54,53,40,41,37,41,61,21,17,46,34,32,22,13,18,27,36,40,29,25,22,30,25,24,8,14,18
³²Áßµ¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ ÀÍ»ê½Ã],47,60,71,54,53,44,45,43,44,64,24,22,48,37,34,27,18,22,32,38,38,32,29,25,33,29,23,8,15,19
¸ðÇöµ¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ ÀÍ»ê½Ã],54,66,77,63,59,45,48,45,48,71,28,25,53,41,38,28,23,28,36,47,44,34,39,28,36,33,29,15,23,30
ÆÈºÀµ¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ ÀüÁÖ½Ã],29,38,54,26,21,21,19,27,27,48,21,13,23,16,20,15,7,8,13,16,18,12,12,10,14,16,18,4,5,8
Áß¾Óµ¿(ÀüÁÖ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ ÀüÁÖ½Ã],27,38,49,39,36,33,33,29,28,47,20,14,28,29,21,18,11,13,18,32,28,21,18,18,24,21,17,10,12,15
ÆÈº¹µ¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ÀüºÏ Á¤À¾½Ã],34,54,68,42,36,37,36,40,40,62,19,23,36,28,28,22,12,16,20,24,23,19,17,18,22,-,13,8,11,13
¿¬Áöµ¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
