name,domicile,lat,lon
영흥발전소,대한민국 인천광역시 옹진군 영흥면 외리 368,37.240621,126.457085
영동발전소,대한민국 충청북도 영동군 심천면 약목리 산21-8,36.194689,127.716464
삼천포발전소,대한민국 경상남도 고성군 하이면 덕호리 952,34.91095,128.10927
여수발전소,대한민국 전라남도 여수시 월내동 280,34.853375,127.734583
신인천발전소,대한민국 인천광역시?서구 청라동 674-13,37.53583,126.60842
삼척발전소,대한민국 강원도 삼척시 원덕읍 옥원리 112,37.178015,129.327589
영월발전소,대한민국 강원도 영월군 영월읍 정양리 702,37.163225,128.490773
부산발전소,대한민국 부산광역시 감천동 부산천연가스발전소,35.08789,129.004302
영남발전소,대한민국 울산광역시?남구 야음장생포동 29,35.510635,129.383004
하동발전소,대한민국 경상남도?하동군 금성면 가덕리 310,34.951121,127.820743
안동발전소,대한민국 경상북도?안동시 용상동 430,36.554204,128.769153
남제주발전소,대한민국 제주특별자치도 서귀포시?안덕면 화순리 1202-1,33.252404,126.329042
동해발전소,대한민국?강원도 동해시 구호동 231,37.48516,129.145761
당진발전소,대한민국 충청남도?당진시 석문면 교로길 30,37.05552,126.511195
울산발전소,대한민국?울산광역시 남구 용잠로 623 (남화동),35.471646,129.365265
호남발전소,대한민국 전라남도?여수시 월내동 280,34.853375,127.734583
서울발전소,대한민국 서울특별시?마포구 토정로 56,37.544331,126.916685
인천발전소,대한민국?인천광역시 서구 원창동 323,37.50805,126.615879
보령발전소,대한민국 충청남도 보령시 오천면 오포리 713,36.396121,126.506678
서천발전소,대한민국?서천군 서면 서천화력발전소,36.138603,126.497527
제주발전소,대한민국?제주특별자치도 제주시 삼양동 900,33.534538,126.595491
평택발전소,대한민국?경기도 평택시 포승읍 원정리 1-21,37.007297,126.798186
태안발전소,대한민국 충청남도?태안군 원북면 방갈리 831,36.903845,126.232448
